Problem,Result,Time(s),Facility Status,Customer Status
p23,11728,0.709,1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 1 1 ,0 1 7 7 1 19 17 18 12 17 15 19 1 12 18 12 15 7 4 8 18 15 15 4 8 17 0 1 1 17 18 7 18 0 1 7 8 19 19 18 8 0 5 0 8 5 12 7 19 8 
p24,12707,0.738,0 0 0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 0 1 ,16 14 10 10 12 12 17 13 14 17 7 4 17 7 13 12 15 10 4 10 12 7 15 19 10 17 16 17 12 17 13 7 13 16 12 10 17 19 19 13 14 16 15 16 12 13 14 10 19 10 
p25,17749,22.542,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,13 27 28 2 20 5 19 5 2 17 27 8 28 8 19 8 2 0 5 11 2 27 5 2 29 14 2 11 11 9 25 11 8 29 20 8 5 24 0 14 0 14 9 8 5 14 7 20 11 8 29 14 17 5 13 8 17 27 0 8 0 5 8 11 11 11 9 0 29 24 20 13 11 0 9 20 9 20 14 24 20 0 8 17 19 17 17 7 20 5 2 24 17 11 17 5 2 28 25 20 8 0 14 25 2 29 7 0 14 28 14 14 17 11 25 27 24 24 24 24 5 28 25 13 20 0 5 24 0 29 0 11 24 29 28 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p26,14127,21.382,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 ,20 11 8 14 8 5 14 9 14 0 24 8 14 8 17 14 17 2 29 0 14 0 29 2 5 8 2 24 5 24 5 25 8 25 20 20 24 9 0 17 0 2 24 13 24 14 9 13 11 8 29 8 14 5 20 13 2 25 11 14 0 5 8 0 11 11 9 0 9 24 13 14 11 0 24 8 24 20 14 9 20 7 20 17 25 17 17 0 8 29 2 9 17 11 7 9 2 17 25 13 8 17 14 25 2 29 7 11 14 8 14 14 2 11 11 25 24 24 24 24 5 8 11 13 8 0 5 24 0 25 0 11 24 5 20 14 7 5 20 17 0 8 20 14 8 25 25 5 2 5 
p27,18157,21.232,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 0 1 1 ,20 25 20 2 20 5 19 9 14 0 9 20 8 20 7 14 14 17 25 5 17 7 9 2 5 8 19 24 24 24 29 25 13 11 20 20 24 24 7 14 17 8 22 28 9 14 0 20 11 8 29 7 14 11 8 20 17 11 17 14 0 5 20 0 11 25 24 0 9 24 13 13 0 0 24 28 24 20 14 24 20 0 28 17 2 0 2 0 20 5 2 24 0 0 7 9 14 2 25 16 8 17 17 25 19 29 17 11 28 28 14 14 2 11 11 25 24 24 24 24 5 8 25 13 16 0 5 24 0 25 0 11 24 5 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p28,19894,22.447,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 ,20 11 13 2 20 5 14 24 14 17 9 20 8 20 7 14 0 17 5 0 14 0 5 2 5 8 0 5 5 24 27 25 20 25 20 20 24 9 25 14 0 14 5 28 24 14 0 8 0 28 25 14 14 5 20 13 17 27 0 14 17 25 8 27 11 25 24 0 27 9 8 13 11 7 24 20 9 20 28 24 20 7 8 17 17 17 7 7 20 27 2 24 0 11 17 5 2 2 25 20 8 17 14 25 2 11 7 11 28 28 14 14 2 0 0 25 24 24 24 24 5 8 25 13 8 0 5 9 0 25 0 11 24 25 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p29,16806,22.222,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 ,20 25 13 14 13 5 2 5 13 17 9 8 28 20 7 2 14 17 5 11 19 0 24 17 24 8 2 5 5 24 5 0 8 25 20 20 24 9 7 2 17 14 9 8 24 14 0 13 11 8 25 17 14 11 13 20 17 27 7 14 17 5 20 11 11 25 9 17 25 9 20 20 11 17 24 8 24 20 14 24 20 0 13 17 2 17 17 7 8 5 2 24 17 0 17 24 2 19 25 20 8 7 0 11 2 25 7 11 14 28 14 2 2 11 11 27 24 24 11 5 11 8 25 13 13 0 5 24 0 25 0 11 24 5 8 14 7 5 20 17 0 8 20 14 8 25 25 5 2 5 
p30,14157,22.233,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 ,20 11 13 2 28 11 14 24 14 17 9 8 28 20 2 8 14 0 0 11 14 0 9 17 24 8 2 24 5 9 29 0 20 25 14 20 24 9 17 2 0 8 9 14 24 17 11 13 11 8 29 14 14 11 8 20 17 11 7 14 0 11 20 0 11 11 24 0 29 24 20 13 11 17 24 20 9 8 2 9 20 7 13 0 17 17 17 7 20 5 2 24 17 0 7 9 2 2 25 13 28 0 17 25 2 29 7 11 14 28 14 17 2 11 11 25 24 24 24 24 5 8 25 13 8 0 5 9 0 25 0 11 24 5 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p31,19218,21.394,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0 1 1 ,20 17 28 2 13 5 7 5 8 17 7 8 2 13 7 28 14 0 5 0 14 0 24 17 24 14 19 24 24 5 5 5 18 11 20 20 5 9 0 2 0 20 24 28 9 17 11 13 0 28 11 2 14 0 13 20 17 11 11 8 0 11 8 11 11 11 24 17 5 25 13 20 11 2 9 20 9 20 14 24 13 7 8 17 2 0 17 0 20 29 14 24 17 11 17 24 2 19 25 18 28 17 17 25 2 29 17 11 28 28 14 14 2 11 11 25 24 24 5 24 5 8 25 13 18 0 5 9 0 0 0 11 24 5 8 14 17 25 20 17 0 8 20 14 8 25 25 5 2 5 
p32,20900,21.284,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 ,28 11 13 0 14 5 11 24 19 17 25 20 28 20 19 14 7 17 5 11 2 0 9 17 27 8 19 5 5 9 25 5 14 25 8 20 5 9 11 14 0 14 24 28 5 14 7 8 7 8 25 7 14 11 13 8 17 27 2 14 0 5 20 27 0 11 24 0 9 5 20 20 11 0 24 8 24 20 19 24 20 7 20 17 19 17 17 7 20 25 2 24 7 11 7 24 2 19 25 13 8 0 17 11 2 11 17 11 14 28 14 14 2 11 11 25 24 24 24 24 5 8 25 20 8 0 5 24 0 25 0 11 24 5 8 14 17 25 20 17 0 8 20 14 8 25 25 5 2 5 
p33,16656,22.775,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 0 1 1 0 1 0 0 ,20 25 13 14 16 11 2 9 14 17 24 16 14 8 19 2 17 17 7 0 14 17 5 2 5 20 2 24 24 9 25 11 13 11 20 8 24 24 0 14 0 8 5 20 24 14 7 13 11 8 27 14 14 0 2 20 17 17 27 14 0 5 20 27 11 11 24 0 5 9 8 20 5 17 24 20 24 8 14 24 20 17 13 0 19 17 2 0 20 5 17 24 7 11 17 9 2 2 25 16 8 7 17 25 2 25 17 11 14 8 14 14 2 11 11 11 24 24 24 24 5 8 25 13 16 0 5 9 0 25 0 11 24 25 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p34,13515,21.741,1 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 ,20 11 8 14 20 0 19 24 14 17 5 14 20 20 19 8 17 0 25 11 14 7 25 2 5 8 19 24 24 5 25 11 20 25 20 20 24 24 0 14 0 14 5 14 24 14 7 8 11 14 5 14 14 11 6 20 17 11 0 17 0 24 20 25 0 25 24 0 24 5 20 6 11 17 24 8 5 20 14 5 20 0 20 17 17 17 17 17 20 5 2 29 17 11 17 29 2 17 25 6 8 17 17 25 2 29 0 11 14 8 14 19 2 11 11 25 24 24 24 24 5 8 25 20 2 11 5 24 0 29 0 11 24 5 8 14 0 5 20 17 0 8 20 14 8 25 25 5 2 5 
