Problem,Result,Time(s),Facility Status,Customer Status
p55,9931,6.763,1 0 1 0 0 0 1 1 1 1 0 0 0 1 1 1 0 1 1 1 ,17 18 8 18 8 8 17 8 8 17 2 8 18 8 2 2 2 2 8 6 6 14 6 6 2 2 14 6 6 6 6 6 14 6 6 6 6 6 2 7 19 19 19 7 0 0 0 0 0 0 0 6 7 7 7 7 19 7 7 7 9 9 13 7 9 7 9 7 7 13 9 9 9 13 17 13 9 13 9 13 13 15 15 15 15 15 15 15 15 9 15 18 18 18 18 17 18 18 18 18 
p61,34361,52.83,1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 ,18 28 2 2 2 6 15 27 22 17 4 17 20 1 28 18 3 13 22 0 27 24 0 24 10 27 24 14 4 16 19 4 4 24 27 6 20 8 24 24 18 20 6 4 8 19 3 16 19 19 24 16 24 15 8 6 11 9 22 25 4 2 25 8 3 12 2 17 28 25 18 12 19 9 10 13 20 10 8 24 13 0 9 25 26 13 6 0 27 7 28 6 7 25 2 3 11 6 0 11 28 15 12 18 4 2 4 27 22 3 19 4 22 12 12 8 28 7 17 8 14 11 28 4 26 16 2 11 26 17 28 24 25 20 1 9 3 13 28 14 12 22 11 11 11 2 24 15 27 25 24 17 10 0 20 28 2 15 3 13 13 0 10 24 10 27 1 4 3 15 1 20 19 14 26 2 0 10 4 10 2 15 2 19 12 8 28 10 0 2 2 2 6 4 7 12 7 15 10 19 
p62,49836,52.443,1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 ,18 19 0 22 21 12 15 28 22 27 4 28 20 13 28 18 23 20 22 0 7 21 5 24 20 18 27 19 6 2 19 26 4 21 27 6 14 8 22 15 7 20 6 19 8 19 13 21 14 14 27 24 24 15 20 12 11 8 18 7 26 17 7 8 13 11 5 17 19 12 7 12 19 8 10 20 8 5 20 22 10 5 26 7 4 13 4 5 27 7 28 19 7 11 2 13 11 6 0 28 17 15 12 18 26 24 4 24 22 13 26 26 22 12 12 8 28 7 17 8 26 11 17 19 26 21 2 11 4 17 28 24 11 20 23 8 13 13 28 10 12 22 11 11 11 5 24 15 18 7 24 17 10 0 8 11 2 15 13 13 13 27 10 24 5 27 5 4 13 21 5 20 19 10 26 2 0 10 4 10 5 21 2 19 12 8 28 23 0 21 2 21 6 4 7 12 7 15 10 19 
p63,37431,53.753,1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 ,18 6 16 27 2 12 16 17 18 28 4 17 13 1 17 18 1 13 24 27 18 16 13 24 23 18 27 14 29 24 4 26 26 16 24 6 14 8 24 16 18 8 11 29 9 28 10 21 19 14 27 27 21 16 8 19 11 8 18 18 29 0 12 8 13 11 23 17 6 12 18 6 6 9 10 1 8 23 8 16 10 0 9 12 29 13 6 2 24 25 28 4 25 25 0 13 18 6 0 28 28 21 25 18 4 24 29 24 24 13 14 4 27 12 12 8 28 25 17 8 26 11 28 4 26 16 2 11 26 0 28 24 25 10 23 9 1 13 0 10 12 27 12 11 11 2 24 21 27 25 24 17 23 0 8 28 2 16 13 13 13 27 10 2 23 27 23 4 1 21 1 10 19 14 26 2 0 10 29 10 2 21 2 19 12 8 28 23 0 21 2 21 6 4 25 12 25 21 10 19 
p64,26575,52.067,1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 ,18 19 21 24 21 12 2 17 27 27 4 28 13 10 28 7 13 19 22 0 27 2 5 0 14 18 22 14 29 21 19 6 26 21 18 12 20 20 21 21 7 9 6 4 8 28 13 21 19 14 24 22 24 21 8 12 11 9 18 7 4 0 18 20 20 11 23 14 12 7 18 12 19 9 23 23 20 23 20 24 10 0 26 7 29 13 19 5 24 25 28 6 25 25 5 13 11 6 0 28 17 21 11 18 4 0 29 24 22 13 14 4 27 12 12 20 28 7 17 8 26 11 17 19 9 21 2 11 26 17 28 21 25 20 23 20 13 13 28 10 11 22 11 25 25 5 24 21 22 25 24 17 23 0 8 11 2 21 13 13 13 27 10 24 23 27 5 4 23 21 5 20 19 14 26 2 0 10 29 10 5 21 2 19 12 8 28 23 0 21 2 21 6 4 7 12 7 21 10 19 
p65,34473,51.317,1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ,18 6 2 18 5 27 21 27 0 28 4 28 13 3 6 11 3 13 18 0 27 2 5 21 10 18 27 19 4 21 19 19 19 21 27 6 8 8 27 16 18 20 6 4 8 4 13 21 14 20 0 16 16 16 10 6 25 20 18 25 4 0 18 8 13 11 2 14 19 25 27 12 6 8 10 20 20 23 20 16 10 5 23 25 29 13 6 5 18 18 28 6 25 25 2 3 11 6 17 17 17 16 25 18 4 0 4 27 27 3 19 4 27 12 12 20 28 11 17 8 26 25 0 19 26 21 2 28 19 17 28 2 11 20 23 20 3 13 17 14 12 27 11 11 25 5 16 16 27 25 0 17 23 17 8 11 21 16 3 13 13 27 10 0 5 27 23 4 3 21 5 20 19 14 26 2 0 10 29 10 5 21 2 19 12 8 28 23 0 21 2 21 6 4 25 12 25 21 10 19 
p66,50690,51.18,1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ,25 19 2 27 21 12 24 27 24 0 26 28 13 23 28 18 17 20 22 0 18 16 23 24 10 18 18 19 4 2 26 19 4 21 28 6 20 9 24 24 18 9 12 4 20 14 20 2 19 14 24 16 24 21 9 6 11 14 22 11 4 17 18 20 13 25 5 14 28 12 11 12 19 20 23 5 20 23 20 24 10 5 9 25 4 13 6 23 27 25 28 6 18 12 0 13 11 6 0 28 28 16 25 18 4 0 26 24 22 13 19 6 27 12 11 20 28 11 17 20 9 11 28 19 26 16 2 11 19 0 11 24 25 20 23 9 13 13 28 10 12 22 12 11 25 5 24 21 27 25 24 17 23 0 20 11 5 16 13 13 13 27 10 24 5 27 5 4 13 21 5 20 19 14 26 2 0 10 4 10 5 21 2 19 12 9 28 23 0 21 2 21 6 4 25 12 25 21 10 19 
p67,39253,52.953,1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ,27 19 2 17 2 12 15 17 27 28 26 28 10 3 28 11 3 20 16 17 18 24 5 27 8 18 27 19 29 15 19 19 26 21 28 19 20 3 24 15 18 8 6 4 8 26 3 21 19 20 24 16 21 21 8 11 11 26 18 25 4 0 7 8 13 11 2 19 28 11 18 12 19 20 23 10 20 10 20 16 23 0 8 7 29 10 6 5 27 7 19 4 25 25 2 3 27 6 0 28 28 15 12 18 4 0 4 0 27 3 19 4 27 12 12 8 28 7 17 8 19 11 17 19 26 16 2 11 26 17 28 21 25 20 23 20 3 3 28 0 12 18 11 11 25 5 24 15 27 25 24 17 23 0 8 11 2 15 3 13 13 27 10 24 5 27 5 4 3 2 23 13 6 0 26 2 0 10 29 10 5 21 2 19 12 8 28 23 0 21 2 21 6 4 7 12 7 15 10 19 
p68,26452,51.886,1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 ,7 19 24 27 21 12 16 27 22 27 4 17 10 13 11 11 13 10 24 0 27 16 5 0 10 11 22 19 26 2 6 19 4 24 0 6 10 20 16 16 7 9 6 26 9 26 3 21 19 19 2 27 24 16 9 12 11 9 22 7 4 27 7 20 3 11 5 14 6 12 7 12 26 9 23 23 13 10 20 16 10 0 9 7 4 20 4 5 27 7 28 19 25 25 2 3 11 6 17 17 28 16 12 25 4 2 4 27 22 13 19 4 27 6 12 20 28 25 14 20 26 11 17 6 26 16 2 11 26 0 28 24 25 20 23 9 3 3 28 10 12 22 11 11 25 5 16 21 27 25 24 17 23 0 20 11 2 16 13 13 13 27 10 24 5 27 5 4 3 21 5 20 19 14 26 2 0 10 4 10 5 21 2 19 12 9 28 23 0 21 2 21 6 4 7 12 7 21 10 19 
p69,35383,53.413,1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 ,7 6 21 2 2 12 21 0 7 17 4 28 23 5 28 7 3 20 22 28 24 16 13 24 23 25 24 14 29 2 19 26 19 16 28 6 3 8 24 22 7 8 6 26 8 19 13 2 28 14 24 16 24 16 20 11 7 9 22 25 29 17 7 8 13 25 5 17 14 25 22 25 6 8 23 23 10 5 14 24 23 0 9 25 29 10 6 2 24 7 28 6 25 25 2 3 11 6 17 28 17 15 25 25 4 0 4 21 22 3 19 4 22 6 12 8 28 7 17 8 26 11 17 19 9 16 2 11 26 17 28 24 25 20 23 9 3 13 17 10 12 22 11 11 25 5 24 15 22 25 24 17 23 0 8 11 2 15 3 13 13 0 20 24 5 24 5 4 3 21 5 20 19 14 26 2 0 10 29 10 5 21 2 19 12 8 28 23 0 21 2 21 6 4 7 12 7 15 10 19 
p70,50826,51.292,1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 0 ,18 6 2 27 5 12 16 0 18 28 4 28 13 1 28 18 10 20 27 27 27 16 2 27 23 18 24 28 4 2 19 19 19 16 27 6 20 8 16 16 11 26 6 26 8 26 13 24 19 20 24 27 0 16 20 12 11 8 18 7 4 0 25 14 13 12 2 14 6 25 18 12 19 8 13 13 10 10 8 27 23 0 8 25 4 13 6 5 24 7 28 12 25 25 2 13 27 6 5 28 28 16 25 18 4 0 4 27 27 13 19 4 24 12 28 8 28 7 17 8 14 11 17 19 4 16 2 12 26 0 28 24 25 20 23 8 1 13 28 10 12 27 6 11 25 23 24 16 18 25 27 17 23 0 8 11 5 2 13 13 13 27 10 24 5 27 5 4 1 2 1 20 19 14 26 2 0 10 4 20 5 16 2 19 12 8 28 23 0 2 2 2 6 4 7 12 7 2 10 19 
p71,39417,51.519,1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 ,27 28 21 24 2 6 15 28 22 24 4 28 10 13 6 18 13 10 24 0 18 16 5 24 10 18 27 14 4 2 19 6 4 21 27 6 8 8 24 24 7 9 6 4 20 19 8 0 19 14 24 24 2 16 9 12 18 9 11 25 4 2 7 14 20 11 5 17 28 7 18 12 19 9 23 23 20 23 8 16 23 0 14 25 4 10 19 23 27 7 11 6 25 11 2 13 11 6 0 28 28 15 25 18 4 0 4 24 22 20 19 4 27 12 12 8 28 7 28 8 14 11 28 14 9 16 21 11 19 17 11 21 11 20 5 9 13 13 28 14 12 22 11 11 25 5 24 15 27 25 24 17 23 17 8 11 2 15 13 13 13 27 10 2 5 27 5 4 13 21 5 8 19 14 4 2 0 10 4 20 5 21 2 19 12 8 28 23 0 21 2 21 6 4 7 12 7 15 10 19 
