Problem,Result,Time(s),Facility Status,Customer Status
p33,18172,34.224,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,16 26 13 6 10 26 14 4 23 5 2 27 24 5 17 22 29 6 2 8 11 22 21 16 21 18 9 22 0 26 23 12 6 10 28 29 20 27 0 20 17 15 6 12 4 19 15 0 23 27 0 21 8 24 15 21 23 12 16 10 19 0 0 22 25 9 18 9 1 23 27 28 8 3 15 25 1 4 24 1 11 7 21 12 4 13 13 7 23 13 15 13 9 5 7 7 0 15 17 11 10 0 4 23 6 13 20 20 14 14 25 3 27 10 18 24 16 24 10 1 25 0 7 28 16 1 29 14 23 21 23 9 17 13 10 22 3 22 25 2 0 17 16 17 12 22 27 17 5 6 
p34,16899,34.044,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,12 3 27 9 26 8 0 17 7 23 6 17 9 13 22 28 11 21 18 5 6 28 4 20 1 24 12 0 1 24 11 0 18 7 23 2 4 0 19 25 18 14 11 27 0 16 18 23 20 1 18 10 17 16 27 5 10 29 9 3 0 9 12 7 25 27 1 4 1 2 27 12 24 12 0 13 11 29 20 17 5 6 4 19 10 15 3 19 20 29 24 13 8 9 0 23 9 4 3 12 2 3 2 23 21 0 15 16 27 29 7 19 26 9 10 19 23 21 20 27 22 23 16 21 1 0 22 2 23 28 28 6 8 24 12 9 22 17 6 16 11 3 25 29 21 12 15 25 2 23 
p35,19206,33.989,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,4 14 6 12 24 25 26 10 28 18 24 17 1 5 20 23 7 28 22 13 3 0 26 8 8 16 16 24 2 10 29 27 22 4 14 11 24 21 15 2 14 3 23 21 13 10 19 18 28 26 3 3 20 13 19 22 15 7 27 12 11 21 23 24 0 27 9 26 10 11 1 19 19 17 12 18 10 4 19 12 19 16 12 9 8 29 14 2 6 4 8 6 1 21 21 0 23 10 8 1 17 7 8 7 28 2 2 18 14 1 3 26 7 14 8 4 20 10 0 9 11 28 14 1 20 13 11 4 10 18 2 29 17 14 2 9 5 23 29 6 15 9 28 28 3 28 1 9 16 17 
p36,22263,34.782,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,12 15 13 22 26 17 4 8 1 5 9 28 27 8 3 10 11 16 17 0 16 11 14 6 9 2 28 4 14 9 12 7 7 5 11 24 13 6 13 20 16 25 24 23 24 12 25 18 11 2 22 25 29 19 29 27 4 28 13 22 20 16 2 21 21 8 10 13 14 3 10 14 17 12 0 23 23 3 7 0 9 26 7 5 6 21 16 29 21 26 4 13 2 21 23 20 7 1 7 17 26 10 14 10 2 3 6 5 21 6 27 5 20 22 24 20 29 14 26 9 13 0 19 28 3 14 21 18 20 24 16 1 4 8 7 10 5 1 22 2 9 25 29 13 19 3 16 12 21 17 
p37,16249,35.141,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,3 23 2 2 26 25 29 2 4 23 6 24 16 3 18 28 4 21 5 8 1 12 17 16 6 11 24 15 25 6 0 19 19 20 11 14 0 22 21 6 4 9 20 29 28 4 15 9 2 19 14 1 27 12 3 17 21 11 20 23 13 6 2 21 6 17 21 7 20 26 12 25 27 29 4 20 7 4 19 13 23 14 5 2 14 7 4 28 25 13 6 21 23 14 22 1 12 5 25 18 28 6 10 25 28 27 1 11 17 15 29 26 22 10 4 12 11 18 5 21 19 13 8 29 12 6 22 8 8 24 1 10 20 19 28 19 9 22 18 14 21 26 26 27 0 17 24 16 1 13 
p38,14883,39.065,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,25 26 2 25 13 6 28 4 10 26 20 0 1 10 9 2 2 27 15 19 4 13 12 20 19 12 7 12 22 18 20 28 5 0 26 11 8 24 12 8 16 3 21 0 18 25 13 9 17 11 12 19 21 11 3 29 22 16 17 4 28 3 8 29 26 3 5 2 29 5 23 16 6 5 20 29 15 15 26 26 15 13 22 17 27 9 23 8 5 15 11 29 16 16 4 21 13 28 25 4 9 11 3 26 4 19 23 26 28 4 15 13 18 14 9 18 4 17 13 6 7 5 10 19 23 17 20 21 2 7 7 0 5 10 25 18 6 4 7 9 25 23 7 29 16 8 15 15 0 12 
p39,18028,37.01,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,5 0 17 25 26 3 16 28 29 23 21 10 8 7 0 9 21 27 13 2 22 25 10 9 0 11 26 23 2 15 19 16 23 5 2 17 18 13 14 1 2 29 16 23 16 29 8 6 29 14 17 20 21 26 23 11 27 14 28 11 27 19 4 4 14 6 9 18 23 3 13 22 2 27 11 21 11 28 10 20 7 7 22 4 14 11 19 5 17 28 15 15 19 18 28 10 4 29 1 26 23 8 1 23 14 15 17 9 11 3 24 22 19 12 4 12 3 19 13 13 12 16 9 0 1 16 21 25 8 19 17 29 1 17 8 27 16 0 11 29 24 1 5 4 22 15 23 29 2 10 
p40,22506,38.862,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,15 10 2 29 16 14 21 9 13 13 17 26 18 28 0 25 25 19 18 6 8 0 12 14 5 26 11 3 27 1 21 25 26 4 3 21 1 6 2 22 20 24 1 8 10 10 14 22 11 9 1 29 8 2 28 15 26 23 4 3 24 26 7 8 3 15 15 28 9 28 24 17 2 16 2 18 11 29 24 18 29 3 25 18 12 13 22 14 4 27 21 5 11 17 2 22 27 6 16 24 13 26 16 9 19 20 16 27 15 3 14 0 4 9 7 9 29 11 6 10 28 5 27 14 26 11 17 0 24 7 3 3 2 23 12 6 12 3 25 13 7 9 21 11 4 12 17 17 20 29 
p41,8081,9.558,1 1 1 1 1 1 1 1 1 1 ,0 4 4 6 7 2 1 4 1 3 9 4 9 3 4 3 2 4 3 9 2 6 4 3 2 6 4 4 3 5 8 4 6 6 2 3 2 5 6 2 4 5 6 7 3 6 2 7 1 4 5 4 7 3 9 1 7 6 2 5 2 8 8 4 2 6 7 4 9 6 9 4 1 4 7 1 7 2 9 4 4 4 7 7 6 2 6 3 8 7 
p42,7878,15.036,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,18 18 5 8 6 3 15 16 10 7 8 9 2 0 12 6 16 7 1 14 1 0 13 3 5 5 14 6 11 18 4 17 15 17 14 12 6 2 11 14 10 17 13 10 12 16 17 3 11 13 18 0 18 3 1 11 16 10 17 16 9 15 18 9 14 7 2 12 8 2 5 17 0 13 19 1 6 7 19 0 
